1,Yamaha Music School Malang,Kursus Musik,"Jl. Soekarno-Hatta, Ruko A-3, Mojolangu, Lowokwaru, Malang City, East Java 65142",-7.948875,112.6282328,(0341) 364356,https://id.yamaha.com/index.html,-,-,Pagi,-,-,-,Setiap Hari,"Selasa	08.00–20.00
Rabu	08.00–20.00
Kamis	08.00–20.00
Jumat	08.00–20.00
Sabtu	08.00–20.00
Minggu	09.00–14.00
Senin	08.00–20.00",Kelas,15 Orang
2,Les Drum Malang,Kursus Musik,"Perum Sufelir Inside, Jl. Simpang Sufelir Dalam No.5, Tulusrejo, Lowokwaru, Malang City, East Java 65141",-7.9526296,112.6323863,0815-1591-0707,-,-,-,Pagi,-,-,-,Hari Kerja,"Selasa	Tutup
Rabu	Tutup
Kamis	08.00–20.00
Jumat	08.00–20.00
Sabtu	08.00–20.00
Minggu	08.00–20.00
Senin	08.00–20.00",Privat,1 Orang
3,Jam Music School,Kursus Musik,"Jl. Cibuni 1 No.1, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126",-7.9574723,112.642201,(0341) 484088,https://www.instagram.com/lesdrummalang/,-,-,Pagi,-,-,-,Hari Kerja,"Selasa	08.00–19.00
Rabu	08.00–19.00
Kamis	08.00–19.00
Jumat	08.00–19.00
Sabtu	08.00–19.00
Minggu	Tutup
Senin	08.00–19.00",Kelas,15 Orang
4,Orpheus Music Malang,Kursus Musik,"Pisang Candi 56 Sukun,, Jl. Pisang Candi Barat, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146",-7.9684498,112.6113019,0856-4975-7509,-,-,-,Pagi,-,-,-,Setiap Hari,"Selasa	08.00–20.00
Rabu	08.00–20.00
Kamis	08.00–20.00
Jumat	08.00–20.00
Sabtu	08.00–20.00
Minggu	09.00–14.00
Senin	08.00–20.00",Kelas,15 Orang
5,Malang Musik School,Kursus Musik,"Jl. Sulawesi No.15, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",-7.9725676,112.6252622,(0341) 365280,https://malang-musik-school.business.site/,-,-,Pagi,-,-,-,Setiap Hari,"Selasa	08.00–20.00
Rabu	08.00–20.00
Kamis	08.00–20.00
Jumat	08.00–20.00
Sabtu	08.00–20.00
Minggu	08.00–20.00
Senin	08.00–20.00",Kelas,15 Orang
